}	}
Avenue	I-LOC
Excursion	I-LOC
House	I-LOC
City	I-ORG
Hospital	I-ORG
Bridgeton	I-LOC
Salem	I-LOC
Atlantic	I-LOC
City	I-LOC
James	I-PER
W.	I-PER
Hoyt	I-PER
New	I-ORG
Jersey	I-ORG
Department	I-ORG
of	I-ORG
Public	I-ORG
Safety	I-ORG
Philadelphia	I-ORG
Medical	I-ORG
Emergency	I-ORG
Corps	I-ORG
Atlantic	I-LOC
City	I-LOC
Philadelphia	I-LOC
Atlantic	I-LOC
City	I-LOC
Edward	I-PER
Farr	I-PER
Reading	I-LOC
William	I-PER
McLaughlin	I-PER
George	I-PER
F.	I-PER
Hauser.	I-PER
Houser	I-PER
Reading	I-LOC
West	I-LOC
Jersey	I-LOC
West	I-LOC
Jersey	I-LOC
Reading	I-LOC
Pennsylvania	I-LOC
Reading	I-LOC
Hauser	I-PER
Hauser	I-PER
Reading	I-LOC
Railroad	I-LOC
Edward	I-PER
Farr	I-PER
Edward	I-PER
D	I-PER
Farr	I-PER
Atlantic	I-LOC
City	I-LOC
Railroad	I-LOC
George	I-PER
F.	I-PER
Hauser	I-PER
West	I-LOC
Jersey	I-LOC
Railroad	I-LOC
John	I-PER
Greiner	I-PER
Edward	I-PER
Farr	I-PER
George	I-PER
F.	I-PER
Hauser	I-PER
Atlantic	I-LOC
City	I-LOC
Railroad	I-LOC
West	I-LOC
Jersey	I-LOC
Seashore	I-LOC
Bowling	I-ORG
Green	I-ORG
Falcons	I-ORG
Bowling	I-ORG
Green	I-ORG
State	I-ORG
University	I-ORG
NCAA	I-ORG
Gregg	I-PER
Brandon	I-PER
Doyt	I-LOC
Perry	I-LOC
Stadium	I-LOC
Bowling	I-LOC
Green	I-LOC
Ohio	I-LOC
Falcons	I-ORG
Bowling	I-ORG
Green	I-ORG
MAC	I-ORG
East	I-ORG
GMAC	I-MISC
Bowl	I-MISC
Tulsa	I-ORG
Bowling	I-ORG
Green	I-ORG
MAC	I-ORG
East	I-ORG
Division	I-ORG
MAC	I-ORG
News	I-ORG
Media	I-ORG
Association	I-ORG
Falcons	I-ORG
Kory	I-PER
Lichtensteiger	I-PER
Erique	I-PER
Dozier	I-PER
Corey	I-PER
Partridge	I-PER
All-MAC	I-ORG
Bowling	I-ORG
Green	I-ORG
Falcons	I-ORG
Kory	I-PER
Lichtensteiger	I-PER
Rimington	I-MISC
Trophy	I-MISC
Bowling	I-ORG
Green	I-ORG
All-Conference	I-ORG
Teams	I-ORG
MAC	I-ORG
30	I-ORG
Seconds	I-ORG
to	I-ORG
Mars	I-ORG
Thirty	I-ORG
Seconds	I-ORG
to	I-ORG
Mars	I-ORG
Los	I-LOC
Angeles	I-LOC
California	I-LOC
Jared	I-PER
Leto	I-PER
Shannon	I-PER
Leto	I-PER
Tomo	I-PER
Milicevic	I-PER
Jared	I-PER
Leto	I-PER
Shannon	I-PER
30	I-ORG
Seconds	I-ORG
to	I-ORG
Mars	I-ORG
Matt	I-PER
Wachter	I-PER
Kevin	I-PER
Drake	I-PER
Solon	I-PER
Bixler	I-PER
Tomo	I-PER
Virgin	I-ORG
Records	I-ORG
30	I-ORG
Seconds	I-ORG
to	I-ORG
Mars	I-ORG
Bob	I-PER
Ezrin	I-PER
A	I-MISC
Beautiful	I-MISC
Lie	I-MISC
Jared	I-PER
Josh	I-PER
Abraham	I-PER
Orgy	I-ORG
Velvet	I-ORG
Revolver	I-ORG
Linkin	I-ORG
Park	I-ORG
A	I-MISC
Beautiful	I-MISC
Lie	I-MISC
Battle	I-MISC
of	I-MISC
One	I-MISC
Hunter	I-MISC
30	I-ORG
Seconds	I-ORG
to	I-ORG
Mars	I-ORG
MTV2	I-MISC
Award	I-MISC
The	I-MISC
Kill	I-MISC
MTV	I-MISC
Video	I-MISC
Music	I-MISC
Awards	I-MISC
AFI	I-ORG
Miss	I-MISC
Murder	I-MISC
The	I-MISC
Shining	I-MISC
A	I-MISC
Beautiful	I-MISC
Lie	I-MISC
RIAA	I-ORG
MTV2	I-ORG
Head	I-ORG
Automatica	I-ORG
The	I-ORG
Receiving	I-ORG
End	I-ORG
of	I-ORG
Sirens	I-ORG
Cobra	I-ORG
Starship	I-ORG
Street	I-ORG
Drum	I-ORG
Corps	I-ORG
Matt	I-PER
Wachter	I-PER
Jared	I-PER
Shannon	I-PER
MTV2	I-ORG
From	I-MISC
Yesterday	I-MISC
American	I-MISC
People	I-LOC
's	I-LOC
Republic	I-LOC
of	I-LOC
China	I-LOC
The	I-MISC
Last	I-MISC
Emperor	I-MISC
Australian	I-MISC
MTV	I-MISC
Australia	I-MISC
Video	I-MISC
Music	I-MISC
Awards	I-MISC
The	I-MISC
Kill	I-MISC
The	I-ORG
Used	I-ORG
Europe	I-LOC
Linkin	I-ORG
Park	I-ORG
Roskilde	I-MISC
Rock	I-MISC
am	I-MISC
Ring	I-MISC
Pinkpop	I-MISC
Give	I-MISC
It	I-MISC
A	I-MISC
Name	I-MISC
Festival	I-MISC
Download	I-MISC
From	I-MISC
Yesterday	I-MISC
MySpace	I-ORG
A	I-MISC
Beautiful	I-MISC
Lie	I-MISC
A	I-MISC
Beautiful	I-MISC
Lie	I-MISC
The	I-MISC
Fantasy	I-MISC
Savior	I-MISC
The	I-MISC
Story	I-MISC
A	I-MISC
Beautiful	I-MISC
Lie	I-MISC
The	I-MISC
Fantasy	I-MISC
A	I-MISC
Beautiful	I-MISC
Lie	I-MISC
Kerrang	I-ORG
!	I-ORG
30	I-ORG
Seconds	I-ORG
to	I-ORG
Mars	I-ORG
Kerrang	I-ORG
!	I-ORG
The	I-MISC
Kill	I-MISC
The	I-MISC
Kill	I-MISC
Madina	I-ORG
Lake	I-ORG
MTV	I-MISC
Europe	I-MISC
Music	I-MISC
Award	I-MISC
Rock	I-MISC
Out	I-MISC
30	I-ORG
Seconds	I-ORG
to	I-ORG
Mars	I-ORG
Fuse	I-ORG
Best	I-MISC
of	I-MISC
2007	I-MISC
Award	I-MISC
Korn	I-ORG
Justin	I-PER
Timberlake	I-PER
Gwen	I-PER
Stefani	I-PER
Linkin	I-ORG
Park	I-ORG
Avenged	I-ORG
Sevenfold	I-ORG
Latin	I-MISC
A	I-MISC
Beautiful	I-MISC
Lie	I-MISC
Echelon	I-ORG
30	I-ORG
Seconds	I-ORG
to	I-ORG
Mars	I-ORG
30	I-MISC
Seconds	I-MISC
to	I-MISC
Mars	I-MISC
A	I-MISC
Beautiful	I-MISC
Lie	I-MISC
Was	I-MISC
it	I-MISC
a	I-MISC
Dream	I-MISC
?	I-MISC
Phase	I-MISC
1	I-MISC
:	I-MISC
Fortification	I-MISC
Valhalla	I-MISC
Phase	I-MISC
1	I-MISC
:	I-MISC
Fortification	I-MISC
Capricorn	I-MISC
(	I-MISC
A	I-MISC
Brand	I-MISC
New	I-MISC
Name	I-MISC
)	I-MISC
30	I-ORG
Seconds	I-ORG
to	I-ORG
Mars	I-ORG
Anarchy	I-MISC
in	I-MISC
Tokyo	I-MISC
Revolution	I-MISC
September	I-MISC
11	I-MISC
,	I-MISC
2001	I-MISC
Occam	I-MISC
's	I-MISC
Razor	I-MISC
Fallen	I-MISC
Jupiter	I-MISC
Year	I-MISC
Zero	I-MISC
Hero	I-MISC
Buddha	I-MISC
for	I-MISC
Mary	I-MISC
93	I-MISC
Million	I-MISC
Miles	I-MISC
Deadsy	I-ORG
Dr.	I-PER
Nner	I-PER
P.	I-PER
Exeter	I-PER
Blue	I-PER
I	I-PER
Some	I-MISC
Other	I-MISC
Son	I-MISC
The	I-MISC
Believer	I-MISC
Sisters	I-MISC
of	I-MISC
Heresy	I-MISC
Under	I-MISC
Pressure	I-MISC
Pressure	I-MISC
Time	I-MISC
to	I-MISC
Wake	I-MISC
Up	I-MISC
Santa	I-MISC
Through	I-MISC
the	I-MISC
Back	I-MISC
Door	I-MISC
Kanye	I-PER
West	I-PER
Stronger	I-MISC
BBC	I-ORG
Radio	I-ORG
1	I-ORG
Live	I-MISC
Lounge	I-MISC
38th	I-MISC
NAACP	I-MISC
Image	I-MISC
Awards	I-MISC
FOX	I-ORG
Shrine	I-ORG
Auditorium	I-ORG
Hollywood	I-LOC
California	I-LOC
LL	I-PER
Cool	I-PER
J	I-PER
Peninsula	I-ORG
Hotel	I-ORG
Beverly	I-LOC
Hills	I-LOC
California	I-LOC
NAACP	I-ORG
65th	I-ORG
wing	I-ORG
England	I-LOC
Big	I-MISC
Week	I-MISC
65th	I-ORG
German	I-ORG
Air	I-ORG
Force	I-ORG
German	I-MISC
Allied	I-ORG
Normandy	I-LOC
Allied	I-ORG
Battle	I-MISC
of	I-MISC
the	I-MISC
Bulge	I-MISC
Allied	I-ORG
Holland	I-LOC
Operation	I-MISC
Market	I-MISC
Garden	I-MISC
Remagen	I-LOC
German	I-MISC
Rhine	I-LOC
Iceland	I-LOC
Spain	I-LOC
Spanish	I-ORG
Air	I-ORG
Force	I-ORG
Air	I-ORG
Defense	I-ORG
Direction	I-ORG
Centers	I-ORG
ADDCs	I-ORG
65th	I-ORG
Air	I-ORG
Division	I-ORG
Spanish	I-MISC
65th	I-ORG
Spain	I-LOC
Spanish	I-ORG
Air	I-ORG
Defense	I-ORG
Command	I-ORG
U.S.	I-ORG
Sixth	I-ORG
Fleet	I-ORG
65th	I-ORG
USAFE	I-ORG
4	I-ORG
Air	I-ORG
Defense	I-ORG
Wing	I-ORG
65	I-ORG
Fighter	I-ORG
Wing	I-ORG
65	I-ORG
Air	I-ORG
Division	I-ORG
(	I-ORG
Defense	I-ORG
)	I-ORG
65	I-ORG
Air	I-ORG
Division	I-ORG
Fourth	I-ORG
Air	I-ORG
Force	I-ORG
Army	I-ORG
Service	I-ORG
Forces	I-ORG
Eighth	I-ORG
Air	I-ORG
Force	I-ORG
VIII	I-ORG
Fighter	I-ORG
Command	I-ORG
3	I-ORG
Air	I-ORG
Division	I-ORG
Iceland	I-ORG
Air	I-ORG
Defense	I-ORG
Force	I-ORG
Sixteenth	I-ORG
Air	I-ORG
Force	I-ORG
United	I-ORG
States	I-ORG
Air	I-ORG
Forces	I-ORG
Europe	I-LOC
Seventeenth	I-ORG
Air	I-ORG
Force	I-ORG
Hamilton	I-ORG
Field	I-ORG
California	I-LOC
Debden	I-LOC
England	I-LOC
Saffron	I-LOC
Walden	I-LOC
England	I-LOC
Elvedon	I-LOC
Hall	I-LOC
England	I-LOC
Trosten	I-LOC
England	I-LOC
International	I-ORG
Airport	I-ORG
Iceland	I-LOC
Madrid	I-LOC
Spain	I-LOC
Torrejon	I-ORG
Air	I-ORG
Base	I-ORG
Spain	I-LOC
Sembach	I-ORG
Air	I-ORG
Base	I-ORG
Germany	I-LOC
Lindsey	I-ORG
Air	I-ORG
Station	I-ORG
Germany	I-LOC
P-38	I-MISC
Lightning	I-MISC
P-47	I-MISC
Thunderbolt	I-MISC
P-51	I-MISC
Mustang	I-MISC
F-94	I-MISC
Starfire	I-MISC
F-86	I-MISC
Sabre	I-MISC
F-86	I-MISC
Sabre	I-MISC
F-100	I-MISC
Super	I-MISC
Sabre	I-MISC
F-104	I-MISC
Starfighter	I-MISC
F-102	I-MISC
Delta	I-MISC
Dagger	I-MISC
F-105	I-MISC
Thunderchief	I-MISC
CH-53	I-MISC
Sea	I-MISC
Stallion	I-MISC
EF-111	I-MISC
Raven	I-MISC
Phantom	I-MISC
II	I-MISC
EC-130	I-MISC
Commando	I-MISC
Solo	I-MISC
F-16	I-MISC
Fighting	I-MISC
Falcon	I-MISC
Jesse	I-PER
Auton	I-PER
Ross	I-PER
G.	I-PER
Hoyt	I-PER
Jesse	I-PER
Auton	I-PER
William	I-PER
L	I-PER
.	I-PER
Curry	I-PER
John	I-PER
J.	I-PER
Brody	I-PER
Meredith	I-PER
H.	I-PER
Shade	I-PER
Emmett	I-PER
S	I-PER
.	I-PER
Davis	I-PER
Newell	I-PER
H.	I-PER
Beaty	I-PER
Clay	I-PER
Tice	I-PER
Jr.	I-PER
Andrew	I-PER
J.	I-PER
Evans	I-PER
Jr.	I-PER
Thomas	I-PER
L	I-PER
.	I-PER
Hayes	I-PER
John	I-PER
C.	I-PER
Scheidt	I-PER
Jr.	I-PER
Philip	I-PER
M.	I-PER
Drew	I-PER
John	I-PER
A.	I-PER
Corder	I-PER
Gerald	I-PER
A.	I-PER
Daniel	I-PER
Glenn	I-PER
A.	I-PER
Profitt	I-PER
II	I-PER
6PR	I-ORG
882	I-ORG
6PR	I-ORG
6PR	I-ORG
Perth	I-LOC
6PR	I-ORG
Fairfax	I-ORG
Media	I-ORG
Australian	I-MISC
Australia	I-LOC
Australia	I-LOC
6PR	I-ORG
6PR	I-ORG
Nicholson	I-ORG
's	I-ORG
Limited	I-ORG
Barrack	I-LOC
Street	I-LOC
Perth	I-LOC
Victorian	I-ORG
Broadcasting	I-ORG
Network	I-ORG
Nicholson	I-ORG
's	I-ORG
Vox	I-ORG
Adeon	I-ORG
Nicholson	I-ORG
's	I-ORG
Broadcasting	I-ORG
Service	I-ORG
Pty	I-ORG
Ltd	I-ORG
Barrack	I-LOC
Street	I-LOC
Hay	I-LOC
Street	I-LOC
VBN	I-ORG
6PR	I-ORG
Hay	I-LOC
Street	I-LOC
Mercedes	I-ORG
College	I-ORG
Hay	I-LOC
Street	I-LOC
East	I-LOC
Perth	I-LOC
6PR	I-ORG
Perth	I-LOC
6PR	I-ORG
TAB	I-ORG
Howard	I-PER
Sattler	I-PER
Bob	I-PER
Maumill	I-PER
Graham	I-PER
Mabury	I-PER
TAB	I-ORG
6PR	I-ORG
Western	I-LOC
Australia	I-LOC
Sattler	I-PER
Maumill	I-PER
Mabury	I-PER
Peter	I-PER
Newman	I-PER
Gary	I-PER
Carvolth	I-PER
Rob	I-PER
Broadfield	I-PER
6PR	I-ORG
TAB	I-ORG
6PR	I-ORG
Racing	I-ORG
Radio	I-ORG
6PR	I-ORG
6PR	I-ORG
Southern	I-ORG
Cross	I-ORG
Broadcasting	I-ORG
Melbourne	I-LOC
3AW	I-ORG
Adelaide	I-LOC
Canberra	I-LOC
6PR	I-ORG
David	I-PER
Christison	I-PER
Lee	I-PER
Tate	I-PER
Howard	I-PER
Sattler	I-PER
Jenny	I-PER
Seaton	I-PER
Gary	I-PER
Carvolth	I-PER
Liam	I-PER
Bartlett	I-PER
Harvey	I-PER
Deegan	I-PER
Graham	I-PER
Mabury	I-PER
882	I-ORG
6PR	I-ORG
Perth	I-LOC
Brad	I-PER
Hardie	I-PER
George	I-PER
Grljusich	I-PER
Karl	I-PER
Langdon	I-PER
Graham	I-PER
Dawson	I-PER
Basil	I-PER
Zempilas	I-PER
Glen	I-PER
Jakovich	I-PER
Shane	I-PER
Woewodin	I-PER
AFL	I-ORG
Basil	I-PER
Zempilas	I-PER
Karl	I-PER
Langdon	I-PER
Glen	I-PER
Jakovich	I-PER
Shane	I-PER
Woewodin	I-PER
Graham	I-PER
Dawson	I-PER
Shane	I-PER
Healy	I-PER
Brad	I-PER
Hardie	I-PER
Melbourne	I-LOC
Perth	I-LOC
6PR	I-ORG
West	I-ORG
Coast	I-ORG
Eagles	I-ORG
Fremantle	I-ORG
Dockers	I-ORG
Melbourne	I-LOC
3AW	I-ORG
Melbourne	I-LOC
FIVEaa	I-ORG
Adelaide	I-LOC
West	I-ORG
Australian	I-ORG
Football	I-ORG
League	I-ORG
6PR	I-ORG
Bouncing	I-MISC
Around	I-MISC
Peter	I-PER
Vlahos	I-PER
6PR	I-ORG
Karl	I-PER
Langdon	I-PER
Harvey	I-PER
Deegan	I-PER
Peter	I-PER
Vlahos	I-PER
WAFL	I-ORG
AFL	I-ORG
Perth	I-ORG
Glory	I-ORG
Australian	I-MISC
National	I-ORG
Soccer	I-ORG
League	I-ORG
6PR	I-ORG
George	I-PER
Grljusich	I-PER
A-League	I-ORG
6PR	I-ORG
6PR	I-ORG
Perth	I-ORG
Glory	I-ORG
A-League	I-ORG
2007/2008	I-ORG
A-League	I-ORG
6PR	I-ORG
Perth	I-ORG
Glory	I-ORG
6PR	I-ORG
Perth	I-ORG
Glory	I-ORG
882	I-ORG
6PR	I-ORG
Western	I-ORG
Force	I-ORG
Subiaco	I-LOC
Oval	I-LOC
Western	I-ORG
Reds	I-ORG
Rugby	I-ORG
League	I-ORG
West	I-ORG
Coast	I-ORG
Eagles	I-ORG
AFL	I-ORG
Adrian	I-PER
Barich	I-PER
Rugby	I-ORG
union	I-ORG
Mick	I-PER
Colliss	I-PER
Force	I-ORG
Western	I-ORG
Force	I-ORG
Sports	I-MISC
Today	I-MISC
882	I-ORG
6PR	I-ORG
883JIA	I-ORG
FM	I-ORG
Chinese	I-MISC
SAFRA	I-ORG
Radio	I-ORG
Singapore	I-LOC
Power98FM	I-ORG
English	I-MISC
Chinese	I-MISC
Singapore	I-LOC
English	I-MISC
Chinese	I-MISC
883Jia	I-ORG
FM	I-ORG
Aabenraa	I-LOC
County	I-LOC
Denmark	I-LOC
South	I-LOC
Jutland	I-LOC
Aabenraa	I-LOC
County	I-LOC
Denmark	I-LOC
South	I-LOC
Jutland	I-LOC
Schleswig	I-MISC
Plebiscites	I-MISC
South	I-LOC
Jutland	I-LOC
County	I-LOC
Aabenraa	I-LOC
County	I-LOC
Prussian	I-MISC
Kreis	I-LOC
Apenrade	I-LOC
Bov	I-LOC
Parish	I-LOC
municipalit	I-LOC
Handewit	I-LOC
Hanved	I-LOC
Parish	I-LOC
Kreis	I-LOC
Flensburg	I-LOC
Danish-German	I-LOC
Aabenraa	I-LOC
County	I-LOC
County	I-LOC
Cunty	I-LOC
Danish	I-MISC
Wikipedia	I-MISC
Adenet	I-PER
Le	I-PER
Roi	I-PER
French	I-MISC
Ro	I-PER
Adam	I-PER
Li	I-PER
Rois	I-PER
Adenes	I-PER
Adan	I-PER
le	I-PER
Menestrel	I-PER
Adam	I-PER
Rex	I-PER
Menestrallus	I-PER
Adilson	I-PER
Tavares	I-PER
Varela	I-PER
Cabral	I-PER
Switzerland	I-LOC
Swiss	I-ORG
Super	I-ORG
League	I-ORG
FC	I-ORG
Basel	I-ORG
Cabral	I-PER
Swiss	I-MISC
Cabral	I-PER
FC	I-ORG
Lausanne-Sport	I-ORG
Adelson	I-PER
Lausanne	I-ORG
FC	I-ORG
Basel	I-ORG
West	I-MISC
African	I-MISC
Cape	I-LOC
Verde	I-LOC
islands	I-LOC
Swiss	I-MISC
Under-19s	I-ORG
Aero	I-ORG
Gare	I-ORG
Gary	I-PER
LeGare	I-PER
Mojave	I-LOC
California	I-LOC
Sea	I-MISC
Hawker	I-MISC
Aero	I-ORG
Composites	I-ORG
Agnieszka	I-PER
Lipska	I-PER
Baranowska	I-PER
Polish	I-MISC
Polish	I-MISC
Lipscy	I-LOC
Jacob	I-PER
Lipski	I-PER
Marjania	I-PER
Zaluska	I-PER
Prussian	I-MISC
Grand	I-LOC
Duchy	I-LOC
of	I-LOC
Konstanty	I-PER
Baranowski	I-PER
Polish	I-MISC
January	I-MISC
Uprising	I-MISC
Marszew	I-LOC
Polish	I-MISC
Great	I-MISC
Emigration	I-MISC
Marszew	I-LOC
Karol	I-PER
Teofil	I-PER
Lenartowicz	I-PER
Franciszek	I-PER
Mickiewicz	I-PER
Eweryst	I-PER
Estkowski	I-PER
Polish	I-MISC
Society	I-ORG
of	I-ORG
Scientific	I-ORG
Help	I-ORG
for	I-ORG
Girls	I-ORG
Towarzystwo	I-ORG
Pomocy	I-ORG
Naukowej	I-ORG
dla	I-ORG
Pleszew	I-LOC
Sczaniecki	I-PER
Karmin	I-LOC
Polish	I-MISC
Adam	I-PER
Mickiewicz	I-PER
Poles	I-MISC
Greater	I-LOC
Poland	I-LOC
Lechu	I-PER
Dwutygodniku	I-PER
dla	I-PER
Kobiet	I-PER
Agotes	I-MISC
Cagots	I-MISC
Navarrese	I-LOC
Pyrenees	I-LOC
Basque	I-LOC
provinces	I-LOC
Bearn	I-LOC
Gascony	I-LOC
Brittany	I-LOC
Cagots	I-MISC
Gahets	I-MISC
Gafets	I-MISC
France	I-LOC
Agotes	I-MISC
Gafos	I-MISC
Spain	I-LOC
Cacons	I-MISC
Cahets	I-MISC
Caqueux	I-MISC
Caquins	I-MISC
Brittany	I-LOC
Christiens	I-MISC
Christianos	I-MISC
Canards	I-MISC
Agotes	I-MISC
Cagots	I-MISC
Visigoths	I-MISC
Goth	I-MISC
French	I-MISC
Pierre	I-PER
de	I-PER
Marca	I-PER
Histoire	I-MISC
de	I-MISC
Beam	I-MISC
Goths	I-MISC
Cagots	I-MISC
Saracens	I-MISC
Albigenses	I-MISC
Christians	I-MISC
Goths	I-MISC
Cagots	I-MISC
Christians	I-MISC
Cretins	I-MISC
French	I-MISC
Revolution	I-MISC
AGS	I-MISC
JH21	I-MISC
Formula	I-ORG
One	I-ORG
Ivan	I-PER
Capelli	I-PER
Motori	I-ORG
Moderni	I-ORG
Aisby	I-LOC
English	I-MISC
Lincolnshire	I-LOC
Asebi	I-LOC
Domesday	I-MISC
Book	I-MISC
Heydour	I-LOC
Ancaster	I-LOC
Grantham	I-LOC
Lincolnshire	I-LOC
Aisby	I-LOC
Gainsborough	I-LOC
Culverthorpe	I-LOC
Estate	I-LOC
Heydour	I-LOC
Aisby	I-LOC
Aisby	I-LOC
Azeby	I-LOC
Hazeby	I-LOC
Heydour	I-LOC
Haydor	I-LOC
Haydour	I-LOC
Heydor	I-LOC
Albert	I-PER
Wren	I-PER
Ontario	I-LOC
Ontario	I-LOC
Liberal-Labour	I-ORG
Kenora	I-LOC
Liberal-Labour	I-ORG
Wren	I-PER
Liberal	I-ORG
Ontario	I-ORG
Liberal	I-ORG
Party	I-ORG
Farquhar	I-PER
Oliver	I-PER
United	I-ORG
Farmers	I-ORG
of	I-ORG
Ontario	I-ORG
John	I-PER
Wintermeyer	I-PER
Robert	I-PER
Gibson	I-PER
Wren	I-PER
Liberal-Labour	I-ORG
Kenora	I-LOC
Alexander	I-PER
Gradsky	I-PER
Russian	I-MISC
Russian	I-MISC
Soviet	I-LOC
Union	I-LOC
John	I-PER
Denver	I-PER
Let	I-MISC
Us	I-MISC
Begin	I-MISC
...	I-MISC
Hymn	I-MISC
Bozhe	I-MISC
,	I-MISC
tsarya	I-MISC
khrani	I-MISC
God	I-MISC
Keep	I-MISC
the	I-MISC
Czar	I-MISC
Russian	I-MISC
Gradsky	I-PER
Vasilievsky	I-LOC
Spusk	I-LOC
Red	I-LOC
Square	I-LOC
Moscow	I-LOC
Gradsky	I-PER
New	I-LOC
York	I-LOC
City	I-LOC
Carnegie	I-ORG
Hall	I-ORG
Anastasiya	I-PER
Vertinskaya	I-PER
Nikita	I-PER
Mikhalkov	I-PER
Gradsky	I-PER
Alfred	I-LOC
Phillips	I-LOC
House	I-LOC
Ford	I-LOC
County	I-LOC
Illinois	I-LOC
Gibson	I-LOC
City	I-LOC
National	I-MISC
Register	I-MISC
Phillips	I-LOC
House	I-LOC
Ford	I-LOC
County	I-LOC
Paxton	I-ORG
Carnegie	I-ORG
Public	I-ORG
Library	I-ORG
Paxton	I-ORG
Water	I-ORG
Tower	I-ORG
Pump	I-ORG
House	I-ORG
Paxton	I-ORG
First	I-ORG
Schoolhouse	I-ORG
Paxton	I-LOC
Illinois	I-LOC
Amateur	I-ORG
Hockey	I-ORG
Association	I-ORG
of	I-ORG
Canada	I-ORG
AHAC	I-ORG
Canada	I-LOC
Kingston	I-LOC
Ontario	I-LOC
Canadian	I-MISC
Canadian	I-MISC
Montreal	I-LOC
Montreal	I-ORG
Hockey	I-ORG
Club	I-ORG
Stanley	I-MISC
Cup	I-MISC
Cup	I-MISC
AHAC	I-ORG
AHAC	I-ORG
Canada	I-LOC
Victoria	I-LOC
Skating	I-LOC
Rink	I-LOC
Montreal	I-LOC
Victoria	I-ORG
Hockey	I-ORG
Club	I-ORG
Montreal	I-LOC
Thomas	I-PER
D	I-PER
Green	I-PER
Ottawa	I-LOC
McGill	I-ORG
AHAC	I-ORG
AHAC	I-ORG
NHL	I-ORG
AHAC	I-ORG
Stanley	I-MISC
Cup	I-MISC
Cup	I-MISC
AHAC	I-ORG
Montreal	I-ORG
Crystals	I-ORG
